"Site.Code","ab.site"
"I1",4.83333333333333
"I10",5.07692307692308
"I11",4.14285714285714
"I12",3.125
"I13",3
"I14",2.66666666666667
"I15",3.16666666666667
"I16",4.33333333333333
"I2",6.125
"I3",4.2
"I4",4.14285714285714
"I5",4.2
"I6",5.875
"I7",2
"I8",4.5
"I9",11.5555555555556
"P1",4.96875
"P2",5.04545454545455
"P3",28.5
"P4",6.57142857142857
"P5",3.22018348623853
"P6",2.85185185185185
"P7",3.72413793103448
"S1",18
"S10",13
"S100",16
"S101",18
"S102",10
"S103",20
"S104",11
"S105",25
"S106",19
"S107",7
"S108",14
"S109",15
"S11",16
"S12",8
"S13",14
"S14",16
"S15",13
"S16",13
"S17",11
"S18",15
"S19",13
"S2",17
"S20",15
"S21",26
"S22",7
"S23",10
"S24",19
"S25",13
"S26",18
"S27",14
"S28",15
"S29",15
"S3",21
"S30",19
"S31",20
"S32",21
"S33",20
"S34",9
"S35",18
"S36",14
"S37",15
"S38",6
"S39",15
"S4",13
"S40",12
"S41",18
"S42",16
"S43",18
"S44",23
"S45",16
"S46",22
"S47",20
"S48",22
"S49",12
"S5",21
"S50",9
"S51",21
"S52",17
"S53",11
"S54",14
"S55",18
"S56",14
"S57",17
"S58",9
"S59",12
"S6",1
"S60",8
"S61",16
"S62",13
"S63",17
"S64",24
"S65",17
"S66",9
"S67",15
"S68",17
"S69",17
"S7",11
"S70",19
"S71",20
"S72",13
"S73",19
"S74",17
"S75",17
"S76",13
"S77",21
"S78",15
"S79",28
"S8",11
"S80",24
"S81",7
"S82",19
"S83",13
"S84",25
"S85",12
"S86",12
"S87",8
"S88",16
"S89",16
"S9",11
"S90",10
"S91",12
"S92",15
"S93",11
"S94",18
"S95",10
"S96",16
"S97",10
"S98",19
"S99",12
"Y1",23
"Y10",4
"Y11",10
"Y12",10
"Y13",12
"Y14",1
"Y15",7
"Y16",4
"Y17",9
"Y18",3
"Y19",5
"Y2",4
"Y20",5
"Y21",2
"Y22",3
"Y23",5
"Y24",22
"Y25",3
"Y26",2
"Y27",5
"Y28",8
"Y29",9
"Y3",4
"Y30",1
"Y31",6
"Y32",7
"Y33",12
"Y34",3
"Y35",5
"Y36",4
"Y37",2
"Y4",4
"Y40",30
"Y42",2
"Y43",3
"Y44",3
"Y45",4
"Y46",42
"Y47",13
"Y48",7
"Y49",1
"Y5",9
"Y50",8
"Y51",7
"Y52",2
"Y53",2
"Y54",21
"Y55",7
"Y56",3
"Y57",3
"Y58",4
"Y59",1
"Y6",10
"Y60",14
"Y61",12
"Y62",17
"Y63",6
"Y64",4
"Y65",16
"Y66",11
"Y67",9
"Y68",2
"Y69",11
"Y70",2
"Y71",23
"Y72",3
"Y73",11
"Y74",29
"Y75",6
"Y76",7
"Y77",2
"Y78",6
"Y79",3
"Y8",6
"Y80",11
"Y81",28
"Y82",15
"Y83",47
"Y84",8
"Y85",8
"Y86",5
"Y87",1
"Y88",14
"Y89",4
"Y9",3
"Y90",2
"Y91",39
"Y92",4
"Y93",4
